TN to be hit,1k1,2k1,2k2,3k1,3k2,3k3,4k1,4k2,4k3,4k4,5k1,5k2,5k3,5k4,5k5,6k1,6k2,6k3,6k4,6k5,6k6,7k1,7k2,7k3,7k4,7k5,7k6,7k7,8k1,8k2,8k3,8k4,8k5,8k6,8k7,8k8,9k1,9k2,9k3,9k4,9k5,9k6,9k7,9k8,9k9,10k1,10k2,10k3,10k4,10k5,10k6,10k7,10k8,10k9,10k10
5,49.94,49.99,90.01,49.96,90.05,99.0,50.05,90.01,98.99,99.95,49.95,90.03,99.0,99.95,100.0,50.0,90.01,99.0,99.95,100.0,100.0,50.05,90.04,99.0,99.95,100.0,100.0,100.0,50.0,90.01,99.0,99.95,100.0,100.0,100.0,100.0,49.99,90.0,98.99,99.95,100.0,100.0,100.0,100.0,100.0,50.09,89.99,99.0,99.95,100.0,100.0,100.0,100.0,100.0,100.0
10,10.03,9.99,55.01,10.0,55.06,88.0,10.0,55.05,87.97,97.92,9.96,55.0,88.01,97.89,99.75,10.02,55.16,88.0,97.89,99.74,99.98,10.06,55.06,88.03,97.93,99.75,99.98,100.0,10.03,55.06,88.02,97.91,99.74,99.98,100.0,100.0,10.0,55.03,87.96,97.91,99.75,99.98,100.0,100.0,100.0,10.03,55.03,88.03,97.9,99.75,99.98,100.0,100.0,100.0,100.0
15,5.04,4.99,22.98,5.02,23.07,60.19,5.02,23.01,60.13,86.91,5.0,23.07,60.23,86.89,97.01,5.01,23.04,60.22,86.94,97.02,99.51,5.03,23.03,60.16,86.89,97.0,99.5,99.93,4.99,23.05,60.24,86.92,97.01,99.5,99.93,99.99,4.99,23.05,60.15,86.92,97.03,99.5,99.93,99.99,100.0,5.01,23.02,60.17,86.96,97.02,99.5,99.93,99.99,100.0,100.0
20,1.01,1.0,10.01,1.01,10.02,31.89,1.01,10.0,31.92,63.94,0.99,10.02,31.97,63.84,86.69,1.01,10.07,31.92,63.99,86.65,96.4,1.01,10.04,31.9,63.9,86.66,96.39,99.23,1.0,10.01,31.94,63.89,86.67,96.41,99.24,99.87,1.0,10.02,31.88,63.92,86.64,96.42,99.23,99.87,99.99,1.02,10.02,31.85,63.96,86.69,96.36,99.24,99.87,99.98,100.0
25,0.51,0.51,3.7,0.51,3.71,15.61,0.5,3.67,15.63,38.9,0.5,3.73,15.59,38.89,67.05,0.51,3.69,15.6,38.99,67.0,86.81,0.5,3.71,15.6,39.05,67.02,86.78,95.95,0.51,3.7,15.61,38.99,67.0,86.84,95.94,99.01,0.51,3.71,15.53,39.0,66.96,86.82,95.93,99.02,99.81,0.51,3.68,15.54,39.02,66.98,86.71,95.92,99.0,99.81,99.97
30,0.1,0.1,1.47,0.1,1.44,7.02,0.1,1.44,7.07,21.35,0.1,1.46,7.04,21.25,44.72,0.1,1.45,7.03,21.35,44.66,69.66,0.1,1.44,7.05,21.41,44.65,69.6,87.13,0.1,1.45,7.04,21.34,44.7,69.64,87.14,95.64,0.1,1.44,7.03,21.4,44.59,69.63,87.08,95.65,98.82,0.1,1.44,7.03,21.34,44.66,69.56,87.08,95.64,98.83,99.74
35,0.05,0.05,0.52,0.05,0.51,2.97,0.05,0.51,2.99,10.79,0.05,0.52,2.98,10.72,26.81,0.05,0.52,2.97,10.74,26.74,49.51,0.05,0.51,2.96,10.78,26.79,49.43,71.97,0.05,0.51,2.97,10.79,26.77,49.54,71.97,87.5,0.05,0.51,2.97,10.81,26.74,49.46,71.85,87.52,95.49,0.05,0.5,2.97,10.78,26.72,49.42,71.91,87.48,95.5,98.67
40,0.01,0.01,0.19,0.01,0.19,1.24,0.01,0.19,1.24,5.09,0.01,0.19,1.24,5.06,14.77,0.01,0.19,1.25,5.09,14.72,31.75,0.01,0.19,1.25,5.1,14.78,31.71,53.66,0.01,0.2,1.22,5.09,14.74,31.78,53.61,73.93,0.01,0.19,1.25,5.11,14.77,31.7,53.48,73.88,87.91,0.01,0.18,1.25,5.11,14.74,31.66,53.57,73.82,87.99,95.42
45,0.01,0.01,0.07,0.0,0.06,0.49,0.01,0.06,0.48,2.32,0.0,0.06,0.48,2.28,7.61,0.01,0.06,0.48,2.3,7.57,18.79,0.01,0.06,0.48,2.31,7.62,18.78,36.38,0.01,0.07,0.48,2.31,7.61,18.78,36.42,57.14,0.01,0.06,0.48,2.31,7.59,18.77,36.33,57.07,75.63,0.01,0.06,0.48,2.32,7.6,18.73,36.37,57.04,75.71,88.43
50,0.0,0.0,0.02,0.0,0.02,0.2,0.0,0.02,0.2,1.02,0.0,0.02,0.19,0.98,3.73,0.0,0.02,0.18,1.0,3.7,10.38,0.0,0.02,0.19,1.0,3.73,10.42,22.85,0.0,0.02,0.19,1.01,3.71,10.4,22.87,40.56,0.0,0.02,0.19,0.99,3.73,10.39,22.84,40.54,60.16,0.0,0.02,0.19,1.01,3.75,10.35,22.87,40.55,60.27,77.22
